text_input,output
"Modern power reactors employ techniques such as the use of reflectors, non-uniform fuel loading, and strategically placed absorbers. The primary purpose of these techniques is to:
A: Increase the average neutron energy
B: Reduce the total neutron leakage from the core
C: Flatten the neutron flux distribution across the core
D: Minimize the effects of fuel burnup",C
"What is a significant advantage of using nuclear power for submarine propulsion compared to fossil fuels?
A: Requires frequent refueling
B: Needs a constant supply of oxygen
C: Provides nearly unlimited submerged endurance
D: Produces significant air pollution",C
"Which radiation quantity is defined as the sum of the initial kinetic energies of all charged, ionizing particles released by indirectly ionizing radiation per unit mass?
A: Absorbed Dose
B: Equivalent Dose
C: Kerma
D: Population Dose",C
"According to a common numerical code used to identify nuclides, what nuclide is represented by the number ""49""?
A: Uranium-235
B: Uranium-238
C: Plutonium-239
D: Plutonium-241",C
"According to standard health physics practice, what is the average breathing rate for a standard man over a full 24-hour day?
A: 1.2 x 10⁻³ m³/sec
B: 2.32 x 10⁻⁴ m³/sec
C: 5.0 x 10⁻⁴ m³/sec
D: 20 m³/hour",B
"Which document, submitted by the license applicant during the Construction Permit (CP) stage, contains comprehensive technical data including site characteristics, facility design with safety features, accident analysis, and preliminary operational plans?
A: Safety Evaluation Report (SER)
B: Final Environmental Statement (FES)
C: Preliminary Safety Analysis Report (PSAR)
D: Applicant's Environmental Report (AER)",C
"Fossil fuel power plants, particularly those burning coal, emit radioactive effluents originating from trace amounts of which elements in the fly ash?
A: Cesium and Iodine
B: Strontium and Barium
C: Uranium and Thorium
D: Plutonium and Americium",C
"For an effluent released from an elevated stack into a uniform wind, how does the ground-level concentration typically change with increasing distance from the source?
A: It continuously decreases with distance.
B: It continuously increases with distance.
C: It rises to a maximum value and then decreases.
D: It remains constant after an initial rise.",C
"In the process of electron capture (K-capture), an atomic electron interacts with a proton in the nucleus. What is the primary result within the nucleus?
A: A proton is converted into a neutron.
B: A neutron is converted into a proton.
C: A proton is emitted from the nucleus.
D: An electron is emitted from the nucleus.",A
"In a typical Light Water Reactor (LWR) once-through fuel cycle, what is the primary method for managing spent nuclear fuel after it is removed from the reactor and cooled in a spent fuel pool?
A: Reprocessing to extract usable materials
B: Immediate disposal as low-level waste
C: Transfer to special storage facilities, often in dry casks, prior to ultimate disposal
D: Re-enrichment and immediate reuse in the reactor",C
"An average 70 kg person has approximately 130 g of total potassium. Given that the isotopic abundance of K-40 is 0.0118 atom percent and its half-life is 1.3 x 10¹ years, what is the approximate total activity of K-40 in the body in microcuries (µCi)?
A: ~0.01 µCi
B: ~0.11 µCi
C: ~1.1 µCi
D: ~11 µCi",B
"An infinite uniform cloud contains Krypton-88 (⁸⁸Kr) at a concentration of 1.0 x 10⁻⁹ Ci/m³. What is the absorbed beta dose rate in air (in rad/sec) immediately outside the body? Use the average beta energy per disintegration from standard tables.
A: 0.229 x 10⁻⁹ rad/sec
B: 7.81 x 10⁻¹¹ rad/sec
C: 3.41 x 10⁻¹⁰ rad/sec
D: 2.29 x 10⁻⁹ rad/sec",B
"In a PWR controlled by chemical shim, burnable poisons are often used in fresh fuel. What is a primary reason for using burnable poisons in this type of reactor control system?
A: To increase the initial excess reactivity of the core.
B: To counteract the positive reactivity insertion from control rod withdrawal.
C: To reduce the required initial boron concentration, helping to ensure a negative moderator temperature coefficient.
D: To increase the production of plutonium-239.",C
"What is the value of the parameter A for the Taylor form of the exposure buildup factor for Aluminum at 4 MeV?
A: 10.583
B: 7.526
C: 5.713
D: 4.716",B
"A monoenergetic beam of 1 MeV gamma rays has an intensity of 100 photons/cm²-sec. If the mass absorption coefficient of air at 1 MeV is 0.0271 cm²/g, what is the exposure rate in mR/hr?
A: 0.178 mR/hr
B: 0.0659 mR/hr
C: 1.78 mR/hr
D: 0.659 mR/hr",A
"The macroscopic total cross-section for neutrons in a specific material is 0.0864 cm⁻¹. What is the mean free path of neutrons in this material?
A: 0.0864 cm
B: 1.16 cm
C: 11.6 cm
D: 116 cm",C
"Historically, miners in regions like Saxony and Czechoslovakia suffered from a high incidence of lung cancer primarily due to internal exposure from the inhalation of what substance?
A: Uranium ore dust
B: Radon gas and its decay products
C: Heavy metal particles
D: Thorium compounds",B
"In gamma-ray shielding calculations, what does the buildup factor primarily account for?
A: The exponential attenuation of primary photons.
B: The contribution of scattered photons and secondary radiation to the total dose or flux.
C: The rate of radioactive decay within the shielding material.
D: The absorption cross-section of the shielding material.",B
"For a finite cylindrical reactor with the minimum critical mass, what is the approximate relationship between its height (H) and radius (R)?
A: H = R
B: H = 1.82R
C: H = πR
D: H = R / 1.82",B
"Which of the following is NOT listed as a primary function of chemical shim in the text?
A: Compensating for fuel depletion over core life.
B: Providing fast reactivity control for reactor shutdown.
C: Keeping the reactor critical during xenon transients.
D: Compensating for the buildup of fission products.",B
"Approximately how many elastic scattering collisions are required, on average, for a fast neutron to slow down from an energy of 1 MeV to thermal energy (0.025 eV) in a medium composed solely of deuterium (atomic mass number A=2)?
A: Around 6 collisions.
B: Around 18 collisions.
C: Around 30 collisions.
D: Around 100 collisions.",C
"A monodirectional beam of 2 MeV gamma-rays with an initial intensity of 10⁶ γ-rays/cm²-sec is incident on a lead shield 10 cm thick. Given that the total attenuation coefficient (μ) for lead at 2 MeV is 0.518 cm⁻¹, calculate the uncollided flux emerging from the shield.
A: 10⁶ γ-rays/cm²-sec
B: 5.63 x 10³ γ-rays/cm²-sec
C: 1.56 x 10⁴ γ-rays/cm²-sec
D: 5.18 x 10⁻³ γ-rays/cm²-sec",B
"Which atmospheric condition is generally considered most favorable for dispersing effluents away from the ground?
A: Fanning
B: Fumigation
C: Lofting
D: Looping",C
"A nuclear reactor produces a radioactive nuclide at a constant rate R. The nuclide has a decay constant λ. If there were initially no atoms of this nuclide present, what is the number of atoms (n) of this nuclide present after a time t?
A: n = Rλt
B: n = R(1 - e⁻λt)
C: n = (R/λ) * e⁻λt
D: n = (R/λ) * (1 - e⁻λt)",D
"When calculating the absorption rate for a non-1/v absorber in a thermal neutron spectrum, an additional factor is required compared to a pure 1/v absorber calculation using the 2200 m/s flux. What is this factor called?
A: The collision parameter (α).
B: The average change in lethargy (ξ).
C: The non-1/v factor (ga).
D: The resonance escape probability (p).",C
"Estimate the maximum range in g/cm² for a beta particle with a maximum energy of 3.0 MeV in a material using the appropriate empirical formula.
A: ~0.62 g/cm²
B: ~0.70 g/cm²
C: ~1.48 g/cm²
D: ~1.60 g/cm²",C
"In nuclear reactor theory, thermal utilization (f) represents the probability that a thermal neutron, upon being absorbed in the core, is absorbed in which component?
A: The moderator
B: The coolant
C: The fuel
D: Structural materials",C
"What quantity is defined as 1 rad of absorbed dose?
A: 1 erg/g
B: 10 erg/g
C: 100 erg/g
D: 1000 erg/g",C
"For a bare, critical infinite cylindrical reactor, the one-group neutron flux distribution depends only on the radial distance and is represented by which type of function?
A: Cosine function
B: Exponential function
C: Bessel function of the first kind, order zero
D: Bessel function of the second kind, order zero",C
"What mathematical function is commonly used to express the uncollided flux from a disc source after passing through a slab shield?
A: Bessel function
B: Sievert integral function
C: Exponential integral function E1
D: Legendre polynomial",C
"Which material is widely used for cladding in PWR and BWR fuel rods?
A: Stainless Steel
B: Aluminum Alloy
C: Zircaloy
D: Graphite",C
"The relationship between the neutron mean free path (λ) and the total macroscopic cross-section (Σₜ) in a material is given by:
A: λ = Σₜ
B: λ = 1/Σₜ
C: λ = Σₜ²
D: λ = 1/Σₜ²",B
"What term has the ICRP recommended replacing ""maximum permissible concentration"" (MPC) with for limiting the intake of radionuclides?
A: Derived Air Concentration (DAC)
B: Annual Limit on Intake (ALI)
C: Working Level (WL)
D: Radiation Protection Guide (RPG)",B
"A significant challenge for maintenance and repairs in a Molten Salt Breeder Reactor (MSBR) is related to which characteristic?
A: The high pressure required for operation necessitates specialized tools.
B: The solid fuel elements must be frequently replaced using remote handling.
C: Delayed neutron precursors carried in the circulating fluid activate the entire primary loop.
D: The graphite moderator elements degrade rapidly in the high-temperature salt.",C
"For a long cylindrical fuel rod of radius 'a' surrounded by cladding of thickness 'b', the thermal resistance of the fuel (Rf) and the cladding (Rc) from the fuel center to the cladding surface are given by Rf = 1/(4πHkf) and Rc = ln(1 + b/a)/(2πHkc), where H is the rod length, kf and kc are the thermal conductivities of the fuel and cladding, respectively. What is the total thermal resistance from the fuel center to the cladding surface?
A: Rf * Rc
B: Rf + Rc
C: (Rf * Rc) / (Rf + Rc)
D: Rf - Rc",B
"A radiation worker ingests 10 µCi of a radionuclide. The target organ has a mass of 100 g. The effective energy equivalent (ε) for this nuclide in this organ is 0.5 MeV, the fraction absorbed by the organ (q) is 0.5, and the effective decay constant (λ_e) is 0.1 day⁻¹. Calculate the dose commitment to the organ in rems.
A: 1.28 rem
B: 5.11 rem
C: 12.78 rem
D: 25.55 rem",C
"For initial dose calculations in reactor siting studies following a postulated accident, which mode of exposure is typically considered dominant?
A: External dose from noble gases
B: Direct dose from nuclides within the reactor building
C: Internal thyroid dose from iodine
D: Ground deposition dose from particulates",C
"In a typical Liquid Metal Fast Breeder Reactor (LMFBR), the fuel and fertile materials are contained within long pins primarily made of which material?
A: Zirconium alloy
B: Graphite
C: Stainless steel
D: Aluminum",C
"What is the primary purpose of biological shielding in nuclear engineering?
A: To reduce heating in reactor vessels.
B: To protect electronic equipment from radiation.
C: To reduce radiation exposure to personnel.
D: To enhance neutron multiplication in the reactor core.",C
"The difference between absorbed dose (D) and equivalent dose (H) is that equivalent dose accounts for:
A: The rate at which the dose is received
B: The electrical charge produced in air
C: The total energy deposited in the body
D: The biological effectiveness of the radiation type",D
"What is the annual dose limit for radioactive material in liquid effluents to the total body of an individual in an unrestricted area?
A: 10 mrems
B: 3 mrems
C: 15 mrems
D: 20 mrems",B
"In the standard assumptions used for calculating the potential radiological consequences of a loss-of-coolant accident (LOCA) for reactor siting, what fraction of the total noble gas inventory in the core is assumed to be immediately released into the reactor containment building?
A: 25%
B: 91%
C: 100%
D: 4%",C
"Control rods in a Boiling Water Reactor (BWR) are typically inserted from which direction relative to the core?
A: From the top, downwards
B: From the bottom, upwards
C: Horizontally
D: From the side",B
"For a bare spherical thermal reactor of radius R composed of a homogeneous mixture of fissile fuel and moderator, operating under modified one-group theory with negligible resonance absorption and fast fission, the buckling is B² = (π/R)². The parameter Z is the ratio of the macroscopic thermal absorption cross-section of the fuel to that of the moderator. Given the moderator thermal diffusion area (L²M), the moderator age (τM), and the thermal neutrons produced per absorption in the fuel (η), which equation correctly expresses Z in terms of B², η, L²M, and τM for a critical reactor?
A: Z = (η - 1 - B²τM) / (1 + B²(L²M + τM))
B: Z = (1 + B²(L²M + τM)) / (η - 1 - B²τM)
C: Z = (η - 1) / (1 + B²(L²M + τM) - B²τM)
D: Z = (1 + B²L²M) / (η - 1 - B²τM) + B²τM",B
"What is the primary purpose of control rods in a nuclear reactor?
A: To increase the rate of neutron multiplication
B: To decrease reactivity by absorbing neutrons
C: To moderate fast neutrons to thermal energies
D: To provide structural support for fuel assemblies",B
"In a typical nuclear power plant steam cycle, which component receives spent steam from the turbines and cools it to condense it back into water?
A: Steam Generator
B: Feedwater Heater
C: Condenser
D: Demineralizer",C
"The reciprocal of the effective half-life of a radionuclide in an organ is equal to the sum of the reciprocals of which two quantities?
A: Radioactive half-life and biological half-life
B: Radioactive decay constant and biological decay constant
C: Effective decay constant and radioactive half-life
D: Biological half-life and effective decay constant",A
"In neutron diffusion theory, the neutron flux is typically defined as the product of the neutron density and the neutron speed. What are the common units for neutron flux?
A: neutrons/cm³
B: neutrons/sec
C: neutrons/cm²-sec
D: cm⁻¹",C
"Which Pasquill stability category is associated with extremely unstable atmospheric conditions?
A: A
B: C
C: E
D: F",A
"In a Pressurized Water Reactor (PWR), what is the main function of the pressurizer?
A: To convert thermal energy into electrical energy.
B: To remove dissolved gases from the primary coolant.
C: To maintain the primary coolant system pressure within desired limits.
D: To absorb neutrons escaping from the core.",C
"In adult humans, which type of tissue is generally considered most radiosensitive due to its high rate of cell reproduction?
A: Muscle tissue
B: Bone tissue
C: Red bone marrow
D: Nerve tissue",C
"For a radioactive nuclide being produced at a constant rate, what value does the activity approach after a very long time?
A: Zero
B: The initial activity
C: The production rate (in equivalent activity units)
D: Infinity",C
"Based on typical U.S. accidental death statistics, which of the following causes historically presented the highest individual risk of acute fatality per person-year among common activities?
A: Air travel
B: Motor vehicles
C: Fires and hot substances
D: Drowning",B
"What is the approximate rest-mass energy of an electron?
A: 931.5 MeV
B: 1.602 x 10^-19 J
C: 0.511 MeV
D: 12 MeV",C
"Using the empirical formula δ = 7.2 + 0.10(M_c^2 - 40.0) cm for water-moderated/reflected reactors, calculate the reflector savings for a spherical reactor core with a migration area (M_c^2) of 30.8 cm^2.
A: 7.2 cm
B: 9.2 cm
C: 6.3 cm
D: 5.2 cm",C
"Which of the following parameters is NOT one of the four factors in the four-factor formula (k∞ = ηf pε) used to describe the infinite multiplication factor of a thermal reactor?
A: Thermal utilization factor (f)
B: Neutron age (τ)
C: Resonance escape probability (p)
D: Fast fission factor (ε)",B
"In many modern power reactors, an online computer system plays a significant role in the operation of control rods. What is a typical function of this computer system?
A: It calculates the exact isotopic composition of the fuel
B: It directly overrides all manual operator inputs
C: It controls rod movements based on real-time reactor parameters to maintain desired conditions and optimize core performance
D: It is solely responsible for initiating reactor scram events",C
"What energy absorption per unit mass of tissue corresponds to an absorbed dose of 1 rad?
A: 100 ergs/g
B: 1 J/kg
C: 6.25 x 10⁷ MeV/g
D: 1.60 x 10⁻⁸ rad/sec",A
"Tissues with high rates of cell division, such as red blood marrow and the lining of the gastrointestinal tract, are generally more sensitive to radiation than tissues with low rates of cell division, such as muscle and bone. What is the primary reason for this difference in radiosensitivity?
A: Higher metabolic activity in rapidly dividing cells.
B: Increased damage to DNA during the synthesis phase.
C: Cell death often occurs when damaged cells attempt mitosis.
D: Accumulation of toxic chemicals in rapidly dividing cells.",C
"Which fundamental relation describes the transfer of heat from a heated solid surface to a moving fluid?
A: Fourier's Law of Conduction
B: Fick's Law of Diffusion
C: Newton's Law of Cooling
D: Stefan-Boltzmann Law of Radiation",C
"For ordinary water at 20°C, what is the thermal neutron diffusion length (LT)?
A: 0.16 cm
B: 2.85 cm
C: 8.1 cm²
D: 0.0197 cm⁻¹",B
"For a spherical reactor, how is reflector savings defined in terms of the bare core radius (Ro) and the reflected core radius (R)?
A: Reflector Savings = R - Ro
B: Reflector Savings = Ro - R
C: Reflector Savings = (Ro - R) / 2
D: Reflector Savings = (Ro + R) / 2",B
"What is the standard SI unit for radioactivity?
A: Curie (Ci)
B: Becquerel (Bq)
C: Roentgen (R)
D: Gray (Gy)",B
"When comparing the gas centrifuge enrichment process to the gaseous diffusion process for the same separative work capacity, what is a significant difference in their operational requirements?
A: Gas centrifuge requires significantly more electrical power.
B: Gas centrifuge requires significantly less electrical power.
C: Gas centrifuge requires a higher operating temperature.
D: Gas centrifuge requires fewer stages for the same enrichment factor.",B
"For an isotropic line source of length 'l' along the z-axis, embedded in a cylindrical shield of radius R, the uncollided flux at a point P on the axis outside the shield is calculated by integrating contributions along the source length. If the integration variable is changed from 'z' (position along the source) to 'θ' (angle from P to a point on the source, relative to the perpendicular distance R), what is the correct differential transformation dz?
A: dz = R tanθ dθ
B: dz = R secθ dθ
C: dz = R sec²θ dθ
D: dz = R csc²θ dθ",C
"The temperature coefficient of reactivity (αT) is a measure of how reactivity changes with temperature. Which of the following expressions approximately relates αT to the multiplication factor (k) and temperature (T)?
A: αT ≈ k * (dk/dT)
B: αT ≈ (dk/dT) / k
C: αT ≈ (1/k) * (dk/dT)
D: αT ≈ k / (dT/dk)",C
"For a release under moderately stable (Pasquill F) atmospheric conditions, estimate the vertical dispersion coefficient (σz) at a distance of 1000 meters from the source.
A: Approximately 5 meters
B: Approximately 10 meters
C: Approximately 15 meters
D: Approximately 20 meters",B
"What are the three classical states of physical matter commonly discussed in introductory physics?
A: Plasma, Solid, Liquid
B: Gas, Liquid, Solid
C: Bose-Einstein Condensate, Gas, Liquid
D: Solid, Liquid, Plasma",B
"How is the dose-equivalent rate obtained from the absorbed dose rate?
A: By dividing the absorbed dose rate by the quality factor
B: By multiplying the absorbed dose rate by the quality factor
C: By adding the quality factor to the absorbed dose rate
D: By subtracting the quality factor from the absorbed dose rate",B
"In a thermal reactor with a liquid moderator, an increase in moderator temperature typically affects the probability that a thermal neutron is absorbed in fuel (f) in which of the following ways?
A: It increases f.
B: It decreases f.
C: It has no significant effect on f.
D: It initially increases then decreases f.",A
"In a Pressurized Water Reactor (PWR), where is the steam for the turbine generated?
A: Directly within the reactor core
B: In external steam generators
C: In the pressurizer
D: In the condenser",B
"Under the linear hypothesis model for radiation-induced cancer risk, the total number of eventual cancer deaths in an irradiated population is primarily dependent on what factor?
A: The age distribution of the population
B: The distribution of doses received by individuals
C: The total population dose (man-rems)
D: The specific type of cancer being considered",C
"According to the equation of continuity for neutrons, the time rate of change in the number of neutrons within a volume must be accounted for by which of the following processes?
A: Radioactive decay of neutrons only.
B: The net flow of neutrons into or out of the volume, absorption within the volume, and production from sources within the volume.
C: Elastic and inelastic scattering events.
D: Only absorption and fission events within the volume.",B
"High-power reactors commonly use multiple control rods in configurations like clusters or cruciform shapes, rather than a single large rod. The primary reason for this design choice is to:
A: Reduce the total weight of the control system
B: Minimize neutron flux distortion and improve power distribution uniformity
C: Lower the manufacturing cost of the control rods
D: Increase the overall neutron multiplication factor of the core",B
"In a Boiling Water Reactor (BWR), what is the assumed maximum time for steam line isolation valves to close following a steam pipe break?
A: 1 second
B: 5.5 seconds
C: 10.5 seconds
D: 60 seconds",C
"According to the NRC's three levels of safety philosophy, which level primarily emphasizes accident prevention through inherent design features, quality construction, and continuous surveillance?
A: The First Level of Safety.
B: The Second Level of Safety.
C: The Third Level of Safety.
D: The Design Basis Accident Level.",A
"Compared to gamma rays of similar energy (above thermal), what is generally true about the neutron flux required to produce the same dose equivalent rate in tissue?
A: A much higher neutron flux is required.
B: A slightly higher neutron flux is required.
C: Approximately the same neutron flux is required.
D: A much lower neutron flux is required.",D
"Under which atmospheric stability condition is a plume pattern characterized by significant vertical fluctuations and a tendency for parts of the plume to touch the ground, despite generally good turbulence?
A: Stable (Fanning)
B: Unstable (Looping)
C: Neutral (Coning)
D: Stable below, neutral aloft (Lofting)",B
"As coolant flows along a reactor fuel channel, how does the bulk coolant temperature typically change axially in the non-boiling region?
A: Decreases
B: Remains constant
C: Increases
D: First decreases then increases",C
"The sum of the cross-sections for all possible interactions between a neutron and a nucleus is known as the:
A: Absorption cross-section
B: Scattering cross-section
C: Fission cross-section
D: Total cross-section",D
"In one-group diffusion theory for a critical reactor, how is the buckling (B²) related to the infinite multiplication factor (k∞) and the diffusion area (L²)?
A: B² = L² / (k∞ - 1)
B: B² = (k∞ - 1) / L²
C: B² = k∞ / L²
D: B² = L² / k∞",B
"In the Gaussian plume model, the horizontal (σy) and vertical (σz) dispersion coefficients quantify the spread of the plume. For a given distance from the source, how do these coefficients generally compare between a stable atmosphere (e.g., Pasquill Category F) and a slightly unstable atmosphere (e.g., Pasquill Category C)?
A: σy and σz values are typically higher in a stable atmosphere.
B: σy and σz values are typically lower in a stable atmosphere.
C: σy is higher in a stable atmosphere, but σz is lower.
D: The dispersion coefficients are independent of atmospheric stability.",B
"Calculate the saturation activity of 131I in a reactor operating at 3,200 MW thermal power, given its cumulative fission yield is 2.77%.
A: 2.34 x 10^6 Ci
B: 7.50 x 10^7 Ci
C: 1.71 x 10^7 Ci
D: 8.46 x 10^5 Ci",B
"In elastic scattering collisions, which type of target nucleus is generally most effective at slowing down fast neutrons?
A: Nuclei with a high atomic mass number (A).
B: Nuclei with a low atomic mass number (A).
C: Nuclei that have significant inelastic scattering cross-sections.
D: Nuclei that have resonances in their total cross-section at high energies.",B
"Compared to a once-through fuel cycle, how does the use of fuel reprocessing and recycling in a nuclear power plant generally impact the lifetime natural uranium requirements for a given electrical capacity?
A: It significantly increases the required amount of natural uranium.
B: It significantly decreases the required amount of natural uranium.
C: It has no significant impact on the required amount of natural uranium.
D: It eliminates the need for natural uranium entirely.",B
"During a Design Basis Depressurization Accident (DBDA) in a High-Temperature Gas-cooled Reactor (HTGR), the Core Auxiliary Cooling System (CACS) is designed to be activated:
A: Automatically upon detection of low primary system pressure.
B: If the main coolant loops fail to operate using steam from the main steam line.
C: If the main coolant loops fail to operate using steam from the auxiliary boilers.
D: Only after the containment filtration system is initiated.",C
"In the context of nuclear power plant safety, what is considered the central safety problem?
A: Ensuring the reactor operates at critical power levels
B: Preventing the escape of large amounts of radioactive materials
C: Managing the disposal of high-level waste
D: Protecting the plant from external threats",B
"Using the approximation R = 1.25 fm * A^(1/3) for the nuclear radius, estimate the radius of a nucleus with an atomic mass number (A) of 125.
A: 1.25 fm
B: 5.0 fm
C: 6.25 fm
D: 125 fm",C
"The total energy released by fission per unit mass of nuclear fuel is known as:
A: Total burnup
B: Breeding gain
C: Specific burnup
D: Fractional burnup",C
"What is the primary function of control rods in a nuclear reactor?
A: To generate power through nuclear reactions.
B: To provide structural support for fuel assemblies.
C: To absorb neutrons and control the reactivity of the core.
D: To circulate coolant and remove heat from the core.",C
"Historically, which type of light water reactor has typically emitted higher levels of radioactive gaseous effluents, primarily due to the condenser off-gas system?
A: Pressurized Water Reactor (PWR)
B: Boiling Water Reactor (BWR)
C: Advanced Gas Reactor (AGR)
D: Sodium-Cooled Fast Reactor (SFR)",B
"Calculate the dose-commitment factor (Cdc) for Iodine-131 (¹³¹I) inhaled by an adult, in units of rem per Ci inhaled, delivered to the thyroid. Use the following parameters from standard tables and models: average beta energy ε = 0.23 MeV, fraction going to thyroid q = 0.23, adult thyroid mass M = 20 g, radiological half-life T₁/₂ = 8.04 days, biological half-life T₁/₂b = 138 days.
A: 1.48 x 10⁶ rem/Ci
B: 6.68 x 10⁻¹⁰ rem/Ci
C: 592 rem/Ci
D: 30 rem/Ci",A
"The two-group critical equation for a bare thermal reactor is given by k∞ / [(1 + B²L_T²)(1 + B²τ)] = 1. In this expression, the term (1 + B²τ)⁻¹ represents the probability that a fission neutron does not escape the reactor:
A: After reaching thermal energy
B: While slowing down from fission energies
C: Due to absorption in the fuel
D: After causing a fast fission",B
"In nuclear reactor design, predicting the distribution of neutrons throughout the system is essential. The overall effect of repeated nuclear collisions on neutron movement is often approximated as a type of:
A: Radioactive decay
B: Nuclear fission
C: Neutron diffusion
D: Gamma ray scattering",C
"The parameter η (eta) for a fissile nucleus is defined as the number of neutrons released in fission per neutron absorbed. How is η related to ν (nu), the average number of neutrons released per fission, and the capture-to-fission ratio α (alpha = σ_γ / σ_f)?
A: η = ν * α
B: η = ν / α
C: η = ν * (1 + α)
D: η = ν / (1 + α)",D
"What is the primary reason a high-flux nuclear reactor may experience a period, known as deadtime, where it cannot be restarted after a shutdown?
A: Fuel depletion below the critical mass.
B: Positive reactivity insertion from moderator temperature effects.
C: Buildup of Xenon-135, causing significant negative reactivity.
D: Mechanical failure of control rods preventing withdrawal.",C
"In reactor kinetics, the study of the behavior of the neutron population in a noncritical reactor is known as:
A: Fuel management
B: Reactor safety analysis
C: Reactor kinetics
D: Thermal hydraulics",C
"Which of the following is typically the first physical barrier to the release of fission products from nuclear fuel in a light water reactor?
A: The reactor vessel
B: The containment structure
C: The fuel matrix (e.g., UO2 pellet)
D: The closed coolant system",C
"How does the Advanced Boiling-Water Reactor (ABWR) design primarily differ from conventional BWRs in its recirculation system?
A: It uses external recirculation pumps located outside the pressure vessel.
B: It utilizes a natural circulation system without any pumps.
C: It incorporates internal centrifugal pumps within the reactor vessel.
D: It uses jet pumps located in the lower plenum.",C
"Which combination of characteristics and events were significant contributors to the uncontrolled power excursion during the Chernobyl accident?
A: Negative void reactivity coefficient, control rod insertion increasing neutron absorption, and high coolant flow rate.
B: Positive void reactivity coefficient, control rod design causing initial positive reactivity insertion upon insertion, and unstable operating conditions at low power.
C: Steam line break outside containment, failure of the pressurizer relief valve, and operator error during shutdown.
D: Loss of feedwater flow to the steam generators, heavy object drop onto fuel, and insufficient control rod insertion speed.",B
"If a safety system requires both AC and DC power to operate, and the failure of either AC or DC power causes the safety system to fail, how would the loss of AC power and loss of DC power typically be represented in a fault tree leading to the safety system failure?
A: Connected by an ""AND"" gate.
B: Connected by an ""OR"" gate.
C: Represented as independent, unrelated events.
D: Connected by a ""NOR"" gate.",B
"Which gamma-ray interaction process is typically of greatest importance for heavier atoms, such as lead, especially at lower photon energies?
A: Compton Scattering
B: Pair Production
C: Photoelectric Effect
D: Bremsstrahlung",C
"For a slab geometry in neutron diffusion theory, what is a common boundary condition applied to the neutron flux at the extrapolated surfaces?
A: The flux gradient is zero (symmetric boundary).
B: The flux is equal to the source strength.
C: The flux is zero.
D: The current is zero.",C
"In nuclear engineering calculations, the quantity known as 'lethargy' (u) is defined in terms of the neutron energy (E) and an arbitrary reference energy (EM) as:
A: u = EM / E
B: u = ln(E / EM)
C: u = ln(EM / E)
D: u = E - EM",C
"Fick's law and diffusion theory are approximations used in neutron transport. Under which of the following conditions are these approximations generally considered less accurate?
A: In regions far from neutron sources and material boundaries.
B: In a medium where neutron scattering is predominantly isotropic.
C: Within a few mean free paths of a neutron source or the surface of a medium.
D: In a large, weakly absorbing medium.",C
"A reactor has operated for a prolonged period at a thermal power of 825 MW. Based on typical data for a 235U-fueled thermal reactor, what is the approximate fission product decay power 1 hour after shutdown?
A: 0.13 MW
B: 1.95 MW
C: 11.5 MW
D: 57.7 MW",C
"What is the standard international (SI) unit for absorbed dose?
A: Rad
B: Rem
C: Sievert
D: Gray",D
"For preliminary analytical calculations in reactor shield design using the removal-attenuation method, which type of kernel is commonly utilized?
A: Diffusion Kernel
B: Simple Exponential Kernel
C: Build-up Factor Kernel
D: Transport Kernel",B
"A thermal reactor fueled with Uranium-235 experiences a change in multiplication factor from 1.000 to 1.001. Given that the effective delayed neutron fraction for Uranium-235 thermal fission is approximately 0.0065, what is the reactivity change in dollars?
A: 0.1 dollars
B: 0.154 dollars
C: 0.65 dollars
D: 1.001 dollars",B
"What is the primary benefit of surrounding a reactor core with a reflector?
A: To increase the neutron multiplication factor (k-effective) significantly above 1.0.
B: To reduce the critical size and mass of the reactor.
C: To absorb all fast neutrons before they reach the core.
D: To increase the reactor's power output without changing fuel enrichment.",B
"A material is composed of two isotopes, X and Y, with atom densities of Nₓ atoms/cm³ and Nᵧ atoms/cm³, respectively. The absorption cross-sections for isotopes X and Y at a specific energy are σₓ barns and σᵧ barns. What is the total macroscopic absorption cross-section (Σₐ) of the mixture at this energy? (Note: 1 barn = 10⁻²⁴ cm²)
A: Nₓσₓ + Nᵧσᵧ
B: (Nₓσₓ + Nᵧσᵧ) × 10²⁴
C: Nₓσₓ × 10⁻²⁴ + Nᵧσᵧ × 10⁻²⁴
D: (Nₓ + Nᵧ)(σₓ + σᵧ) × 10⁻²⁴",C
"What is the approximate recoverable energy released per fission of 235U?
A: 12 MeV
B: 5 MeV
C: 200 MeV
D: 168 MeV",C
"What are the two main classifications of cells found in the human body based on their function?
A: Muscle cells and nerve cells.
B: Blood cells and bone cells.
C: Somatic cells and germ cells.
D: Organ cells and tissue cells.",C
"In a standard Boiling-Water Reactor (BWR), control rods are typically inserted from which location?
A: Top of the core
B: Bottom of the core
C: Side of the core
D: Outside the pressure vessel",B
"Which of the following are the three main formed elements of human blood?
A: Erythrocytes, Leukocytes, and Platelets
B: Erythrocytes, Plasma, and Platelets
C: Leukocytes, Neutrophils, and Plasma
D: Erythrocytes, Leukocytes, and Lymphocytes",A
